# BUSCO version is: 5.8.2 
# The lineage dataset is: mollusca_odb12 (Creation date: 2025-04-11, number of genomes: 36, number of BUSCOs: 4421)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
1100at6447	Complete	JASFXZ010000005.1	27992424	27980859	-	481.8	219
1121at6447	Complete	JASFXZ010000077.1	754027	736375	-	224.5	110
1130at6447	Complete	JASFXZ010000017.1	14058701	14064211	+	271.5	178
1187at6447	Complete	JASFXZ010000032.1	6033413	6039911	+	546.2	361
1207at6447	Complete	JASFXZ010000020.1	5134908	5139560	+	188.5	95
1261at6447	Missing
1283at6447	Duplicated	JASFXZ010000001.1	25623588	25624241	+	295.7	202
1283at6447	Duplicated	JASFXZ010000029.1	8333808	8333155	-	295.7	202
1303at6447	Complete	JASFXZ010000019.1	13917620	13906850	-	841.5	414
1321at6447	Complete	JASFXZ010000014.1	7530540	7544893	+	346.8	168
1336at6447	Complete	JASFXZ010000005.1	15756353	15743787	-	562.8	358
1341at6447	Complete	JASFXZ010000002.1	21645170	21642945	-	342.3	284
1343at6447	Complete	JASFXZ010000024.1	10008563	10013494	+	612.4	314
1371at6447	Complete	JASFXZ010000036.1	4045621	4051659	+	201.0	133
1383at6447	Complete	JASFXZ010000004.1	12514997	12520164	+	441.4	237
1394at6447	Complete	JASFXZ010000012.1	3331150	3358779	+	602.6	323
1434at6447	Missing
1456at6447	Complete	JASFXZ010000024.1	1953503	1949447	-	322.9	191
1478at6447	Complete	JASFXZ010000031.1	1410136	1447529	+	782.3	401
1498at6447	Complete	JASFXZ010000014.1	12378876	12369761	-	590.2	388
1512at6447	Fragmented	JASFXZ010000031.1	526443	521901	-	199.4	156
1593at6447	Complete	JASFXZ010000002.1	1392560	1398847	+	265.1	143
1595at6447	Complete	JASFXZ010000038.1	4087532	4089736	+	281.8	163
1616at6447	Complete	JASFXZ010000005.1	30290491	30278024	-	411.9	273
1617at6447	Complete	JASFXZ010000003.1	3830079	3830966	+	470.9	270
1653at6447	Complete	JASFXZ010000033.1	841193	833681	-	386.0	178
1673at6447	Complete	JASFXZ010000002.1	52087814	52074818	-	429.2	275
1742at6447	Complete	JASFXZ010000002.1	27078098	27079826	+	160.4	120
1768at6447	Complete	JASFXZ010000015.1	6722115	6734641	+	919.4	478
1773at6447	Complete	JASFXZ010000032.1	8259530	8256340	-	726.8	355
1783at6447	Complete	JASFXZ010000070.1	579097	580352	+	604.0	275
1817at6447	Complete	JASFXZ010000012.1	9840623	9845699	+	646.6	325
1829at6447	Complete	JASFXZ010000007.1	3049682	3043823	-	935.9	502
1877at6447	Complete	JASFXZ010000020.1	10441478	10448704	+	331.6	253
1885at6447	Complete	JASFXZ010000007.1	12143365	12139209	-	612.4	361
1889at6447	Complete	JASFXZ010000005.1	15060314	15050813	-	471.3	299
1894at6447	Complete	JASFXZ010000009.1	5048579	5044030	-	333.8	166
1895at6447	Complete	JASFXZ010000020.1	2706418	2722460	+	666.6	316
1905at6447	Complete	JASFXZ010000002.1	49276385	49273250	-	1290.8	576
1923at6447	Complete	JASFXZ010000020.1	5984279	5977021	-	1365.2	718
1927at6447	Missing
1980at6447	Complete	JASFXZ010000005.1	13494320	13503089	+	451.4	263
1997at6447	Complete	JASFXZ010000024.1	3247854	3260857	+	893.4	510
1999at6447	Complete	JASFXZ010000002.1	52388943	52373959	-	497.8	289
2028at6447	Complete	JASFXZ010000001.1	12447359	12454888	+	262.8	146
2036at6447	Complete	JASFXZ010000003.1	15404598	15359895	-	1077.5	477
2055at6447	Complete	JASFXZ010000043.1	649061	644654	-	224.1	187
2073at6447	Complete	JASFXZ010000006.1	6581119	6593816	+	1115.1	574
2077at6447	Complete	JASFXZ010000001.1	9351218	9343180	-	749.6	353
2107at6447	Complete	JASFXZ010000053.1	794019	797470	+	341.7	191
2113at6447	Complete	JASFXZ010000019.1	3492500	3499017	+	567.9	285
2145at6447	Complete	JASFXZ010000032.1	3783685	3782331	-	465.6	249
2150at6447	Complete	JASFXZ010000042.1	3227603	3222118	-	742.8	348
2167at6447	Complete	JASFXZ010000010.1	15380723	15354578	-	582.5	295
2191at6447	Complete	JASFXZ010000029.1	758889	754347	-	577.5	252
2229at6447	Complete	JASFXZ010000011.1	16651387	16637397	-	1183.8	672
2237at6447	Complete	JASFXZ010000008.1	16623295	16618649	-	310.0	173
2245at6447	Complete	JASFXZ010000021.1	8710039	8700782	-	643.5	342
2331at6447	Complete	JASFXZ010000075.1	54127	60500	+	444.9	213
2340at6447	Complete	JASFXZ010000002.1	50193486	50192224	-	631.6	387
2352at6447	Complete	JASFXZ010000029.1	9320052	9313945	-	322.3	186
2372at6447	Complete	JASFXZ010000034.1	6813788	6791998	-	616.5	319
2390at6447	Complete	JASFXZ010000010.1	16544970	16528952	-	1050.8	610
2425at6447	Complete	JASFXZ010000008.1	11776412	11811699	+	1230.8	640
2429at6447	Complete	JASFXZ010000040.1	890000	895157	+	535.0	298
2490at6447	Complete	JASFXZ010000041.1	3282748	3276326	-	661.9	313
2496at6447	Complete	JASFXZ010000017.1	572460	577526	+	468.1	281
2507at6447	Complete	JASFXZ010000043.1	2632362	2624467	-	849.6	453
2532at6447	Complete	JASFXZ010000001.1	14046331	14040963	-	740.9	407
2534at6447	Complete	JASFXZ010000013.1	17071519	17081137	+	454.7	269
2550at6447	Complete	JASFXZ010000005.1	13339131	13345374	+	399.5	216
2553at6447	Complete	JASFXZ010000003.1	8000409	7985099	-	320.5	211
2575at6447	Complete	JASFXZ010000024.1	548409	542070	-	462.8	229
2589at6447	Complete	JASFXZ010000010.1	9029909	9037525	+	721.2	343
2605at6447	Fragmented	JASFXZ010000007.1	9619623	9627558	+	491.0	255
2626at6447	Complete	JASFXZ010000009.1	8726701	8704361	-	370.9	179
2629at6447	Complete	JASFXZ010000014.1	4421277	4466805	+	728.6	385
2635at6447	Complete	JASFXZ010000009.1	15422434	15423543	+	187.9	161
2692at6447	Complete	JASFXZ010000021.1	918157	913565	-	757.9	431
2762at6447	Complete	JASFXZ010000003.1	2516646	2519266	+	516.2	359
2776at6447	Complete	JASFXZ010000002.1	5089318	5124971	+	816.3	399
2827at6447	Complete	JASFXZ010000015.1	8851998	8846049	-	743.5	338
2841at6447	Complete	JASFXZ010000015.1	14114560	14133270	+	932.4	443
2843at6447	Complete	JASFXZ010000009.1	12338352	12380048	+	1409.6	807
2868at6447	Complete	JASFXZ010000073.1	94844	88168	-	704.7	433
2885at6447	Complete	JASFXZ010000028.1	8894623	8921376	+	998.3	541
2903at6447	Complete	JASFXZ010000022.1	5966255	5964713	-	490.1	213
2945at6447	Complete	JASFXZ010000010.1	2024300	2023116	-	289.5	227
2973at6447	Complete	JASFXZ010000017.1	398894	394711	-	329.8	243
2997at6447	Complete	JASFXZ010000002.1	14427834	14432649	+	545.2	310
3000at6447	Complete	JASFXZ010000021.1	2522772	2496569	-	758.4	352
3007at6447	Fragmented	JASFXZ010000018.1	12339611	12334431	-	352.8	309
3013at6447	Complete	JASFXZ010000010.1	7977221	7978692	+	559.2	304
3020at6447	Complete	JASFXZ010000033.1	1169022	1178152	+	826.4	403
3043at6447	Complete	JASFXZ010000004.1	24738855	24747858	+	518.2	322
3067at6447	Complete	JASFXZ010000001.1	19647129	19649723	+	266.9	156
3125at6447	Complete	JASFXZ010000033.1	3329356	3317049	-	1396.4	677
3150at6447	Complete	JASFXZ010000040.1	1189827	1186304	-	586.7	398
3170at6447	Complete	JASFXZ010000008.1	9047079	9043296	-	460.5	205
3189at6447	Complete	JASFXZ010000005.1	19526905	19542152	+	660.9	422
3234at6447	Complete	JASFXZ010000025.1	8449818	8438091	-	274.0	184
3279at6447	Complete	JASFXZ010000027.1	8343463	8315241	-	768.3	354
3294at6447	Complete	JASFXZ010000016.1	1099689	1097649	-	444.5	190
3316at6447	Complete	JASFXZ010000003.1	15516892	15527328	+	508.0	307
3318at6447	Fragmented	JASFXZ010000006.1	8328639	8312486	-	700.9	366
3333at6447	Complete	JASFXZ010000011.1	11371724	11359841	-	954.9	437
3385at6447	Complete	JASFXZ010000004.1	29243211	29227684	-	711.3	349
3448at6447	Complete	JASFXZ010000002.1	53542419	53528630	-	661.3	407
3506at6447	Duplicated	JASFXZ010000013.1	14550619	14568688	+	1131.7	503
3506at6447	Duplicated	JASFXZ010000013.1	16480471	16456915	-	1131.7	503
3508at6447	Complete	JASFXZ010000029.1	5252250	5254295	+	312.1	176
3521at6447	Complete	JASFXZ010000022.1	3921197	3932010	+	637.6	370
3546at6447	Complete	JASFXZ010000021.1	803764	806253	+	377.2	230
3552at6447	Complete	JASFXZ010000021.1	1517056	1514019	-	415.9	217
3564at6447	Complete	JASFXZ010000030.1	7037914	7026308	-	476.3	264
3604at6447	Complete	JASFXZ010000005.1	30765002	30771420	+	1172.4	539
3617at6447	Fragmented	JASFXZ010000038.1	4481506	4485299	+	353.0	217
3627at6447	Complete	JASFXZ010000003.1	4932073	4905196	-	855.3	452
3654at6447	Complete	JASFXZ010000007.1	14965109	14973218	+	643.2	446
3663at6447	Complete	JASFXZ010000071.1	328090	315526	-	1077.3	641
3669at6447	Complete	JASFXZ010000024.1	599668	596893	-	375.8	186
3707at6447	Complete	JASFXZ010000005.1	13175235	13088953	-	869.4	542
3730at6447	Complete	JASFXZ010000033.1	4576753	4574151	-	469.6	349
3731at6447	Complete	JASFXZ010000025.1	8410176	8409364	-	517.3	268
3786at6447	Complete	JASFXZ010000009.1	20616624	20650502	+	1148.0	577
3791at6447	Complete	JASFXZ010000080.1	505699	506592	+	465.8	294
3792at6447	Complete	JASFXZ010000008.1	5145421	5143664	-	324.4	193
3816at6447	Complete	JASFXZ010000006.1	23244298	23246469	+	355.6	185
3857at6447	Complete	JASFXZ010000002.1	46823842	46821004	-	204.7	151
3892at6447	Complete	JASFXZ010000003.1	29833261	29814063	-	447.5	287
3916at6447	Duplicated	JASFXZ010000044.1	2217820	2298812	+	373.6	249
3916at6447	Duplicated	JASFXZ010000044.1	2135443	2141541	+	323.2	238
3958at6447	Complete	JASFXZ010000025.1	4348562	4364074	+	970.3	438
4016at6447	Complete	JASFXZ010000022.1	4821493	4824944	+	592.4	319
4030at6447	Complete	JASFXZ010000014.1	3865948	3861633	-	414.9	207
4031at6447	Complete	JASFXZ010000003.1	29401447	29398488	-	411.4	210
4035at6447	Complete	JASFXZ010000007.1	14962415	14954769	-	1292.1	639
4097at6447	Complete	JASFXZ010000078.1	621187	622129	+	299.9	157
4132at6447	Complete	JASFXZ010000020.1	6698720	6669958	-	989.7	479
4153at6447	Complete	JASFXZ010000018.1	8127569	8129388	+	629.9	331
4262at6447	Complete	JASFXZ010000001.1	48834160	48824395	-	197.1	156
4323at6447	Complete	JASFXZ010000016.1	3591814	3585845	-	436.8	232
4353at6447	Complete	JASFXZ010000003.1	9866427	9864606	-	216.4	126
4408at6447	Complete	JASFXZ010000033.1	6573593	6575926	+	432.9	218
4413at6447	Fragmented	JASFXZ010000002.1	75303	53251	-	1243.1	649
4563at6447	Complete	JASFXZ010000112.1	184136	187953	+	305.1	141
4567at6447	Complete	JASFXZ010000022.1	10755278	10751775	-	374.1	188
4628at6447	Complete	JASFXZ010000057.1	1203170	1210480	+	643.7	364
4641at6447	Complete	JASFXZ010000002.1	10416290	10405936	-	732.6	443
4645at6447	Complete	JASFXZ010000004.1	32616864	32630923	+	829.2	430
4677at6447	Complete	JASFXZ010000014.1	1157254	1155448	-	323.2	157
4714at6447	Complete	JASFXZ010000002.1	5512135	5504448	-	307.4	161
4722at6447	Complete	JASFXZ010000015.1	12853156	12875372	+	1187.4	581
4739at6447	Complete	JASFXZ010000043.1	2649910	2647590	-	510.9	243
4771at6447	Complete	JASFXZ010000005.1	29898174	29912167	+	325.1	214
4803at6447	Complete	JASFXZ010000003.1	7575210	7569364	-	341.3	281
4816at6447	Complete	JASFXZ010000003.1	27896825	27907761	+	540.1	305
4831at6447	Complete	JASFXZ010000012.1	8940521	8931807	-	691.7	372
4857at6447	Complete	JASFXZ010000016.1	17367726	17373567	+	869.1	509
4860at6447	Complete	JASFXZ010000001.1	24382471	24422968	+	1374.5	712
4944at6447	Complete	JASFXZ010000003.1	35322697	35314435	-	731.8	420
5022at6447	Complete	JASFXZ010000005.1	8171542	8167485	-	511.2	420
5023at6447	Complete	JASFXZ010000002.1	5382042	5372391	-	537.2	341
5028at6447	Complete	JASFXZ010000019.1	9980441	9969350	-	1008.7	536
5080at6447	Complete	JASFXZ010000002.1	9093935	9104925	+	365.2	182
5081at6447	Complete	JASFXZ010000003.1	15257715	15269484	+	313.9	169
5122at6447	Complete	JASFXZ010000010.1	16810640	16810062	-	251.2	165
5129at6447	Complete	JASFXZ010000021.1	12492090	12485981	-	456.1	242
5132at6447	Complete	JASFXZ010000005.1	27287531	27272368	-	951.6	448
5181at6447	Complete	JASFXZ010000002.1	27733240	27721942	-	628.9	411
5189at6447	Complete	JASFXZ010000033.1	3646464	3621530	-	2255.1	1131
5314at6447	Complete	JASFXZ010000015.1	13651385	13655881	+	292.3	190
5347at6447	Complete	JASFXZ010000028.1	7884828	7873561	-	666.3	330
5376at6447	Complete	JASFXZ010000004.1	35934577	35948607	+	804.8	449
5398at6447	Complete	JASFXZ010000045.1	2375609	2369412	-	460.5	270
5418at6447	Complete	JASFXZ010000013.1	13822654	13828820	+	570.4	300
5435at6447	Complete	JASFXZ010000002.1	46912502	46901413	-	916.3	441
5484at6447	Complete	JASFXZ010000008.1	10789898	10781216	-	674.0	308
5485at6447	Complete	JASFXZ010000004.1	21048280	21046848	-	353.9	166
5486at6447	Complete	JASFXZ010000005.1	23491110	23489647	-	288.5	169
5505at6447	Complete	JASFXZ010000001.1	33334983	33360287	+	710.4	374
5519at6447	Complete	JASFXZ010000003.1	25737320	25746608	+	858.2	471
5532at6447	Complete	JASFXZ010000065.1	672976	666228	-	336.1	176
5598at6447	Complete	JASFXZ010000068.1	282655	309171	+	1066.0	502
5628at6447	Missing
5630at6447	Complete	JASFXZ010000045.1	146887	140790	-	423.6	264
5634at6447	Complete	JASFXZ010000017.1	1762523	1747016	-	1183.7	629
5649at6447	Complete	JASFXZ010000018.1	9128767	9137936	+	1353.9	613
5676at6447	Complete	JASFXZ010000024.1	8833521	8839184	+	558.6	297
5686at6447	Complete	JASFXZ010000025.1	9771357	9781461	+	1282.1	782
5700at6447	Complete	JASFXZ010000002.1	7118102	7130427	+	699.9	468
5715at6447	Complete	JASFXZ010000022.1	6176608	6169624	-	381.8	204
5728at6447	Complete	JASFXZ010000022.1	5520336	5524636	+	457.8	262
5732at6447	Complete	JASFXZ010000033.1	4510497	4536513	+	1203.6	612
5754at6447	Complete	JASFXZ010000045.1	439261	445429	+	565.7	293
5763at6447	Complete	JASFXZ010000005.1	25771478	25770035	-	308.1	184
5792at6447	Complete	JASFXZ010000016.1	8805950	8803116	-	268.8	153
5877at6447	Complete	JASFXZ010000006.1	898332	939130	+	2576.5	1308
5887at6447	Complete	JASFXZ010000027.1	7095040	7091315	-	419.5	204
5892at6447	Complete	JASFXZ010000010.1	9428310	9399127	-	491.3	304
5901at6447	Complete	JASFXZ010000022.1	1505419	1514685	+	409.7	183
5917at6447	Fragmented	JASFXZ010000031.1	1372572	1347815	-	139.4	110
5935at6447	Complete	JASFXZ010000031.1	7181743	7188803	+	253.4	145
5941at6447	Complete	JASFXZ010000019.1	14385019	14379191	-	348.4	182
5988at6447	Complete	JASFXZ010000024.1	9568451	9561342	-	511.4	278
6019at6447	Complete	JASFXZ010000019.1	5819640	5826338	+	681.4	358
6053at6447	Complete	JASFXZ010000023.1	8853874	8882830	+	1205.5	562
6135at6447	Complete	JASFXZ010000031.1	8178038	8217466	+	914.7	795
6149at6447	Complete	JASFXZ010000035.1	5660574	5668871	+	711.9	315
6158at6447	Complete	JASFXZ010000009.1	6535419	6537094	+	294.2	157
6168at6447	Complete	JASFXZ010000011.1	8996118	9001579	+	444.7	225
6170at6447	Complete	JASFXZ010000006.1	13863629	13871861	+	396.8	217
6248at6447	Complete	JASFXZ010000005.1	26569942	26562145	-	649.9	334
6290at6447	Complete	JASFXZ010000010.1	5932235	5900997	-	493.3	280
6404at6447	Complete	JASFXZ010000018.1	13059742	13056064	-	497.2	224
6418at6447	Complete	JASFXZ010000025.1	10836614	10819942	-	820.8	419
6447at6447	Complete	JASFXZ010000002.1	28276978	28301964	+	332.5	167
6474at6447	Complete	JASFXZ010000003.1	35736765	35749187	+	773.2	410
6475at6447	Complete	JASFXZ010000016.1	403332	397078	-	340.2	209
6482at6447	Missing
6485at6447	Complete	JASFXZ010000047.1	72136	75451	+	255.8	115
6532at6447	Complete	JASFXZ010000017.1	5385770	5380774	-	372.1	183
6585at6447	Complete	JASFXZ010000015.1	9998839	9987839	-	683.2	391
6611at6447	Complete	JASFXZ010000042.1	2498851	2437179	-	1258.4	721
6665at6447	Missing
6689at6447	Complete	JASFXZ010000001.1	43747839	43775439	+	309.3	204
6716at6447	Complete	JASFXZ010000050.1	1908015	1916837	+	335.0	219
6764at6447	Complete	JASFXZ010000001.1	7645389	7674337	+	685.7	362
6779at6447	Complete	JASFXZ010000013.1	10447784	10446279	-	879.6	424
6799at6447	Complete	JASFXZ010000032.1	8000838	7999366	-	663.2	434
6805at6447	Complete	JASFXZ010000001.1	51584489	51593939	+	761.0	447
6848at6447	Complete	JASFXZ010000048.1	942188	949563	+	417.9	214
6851at6447	Complete	JASFXZ010000005.1	27738315	27728496	-	651.6	412
6887at6447	Complete	JASFXZ010000025.1	10815450	10810602	-	269.0	168
6891at6447	Complete	JASFXZ010000018.1	14750644	14727388	-	1874.5	1182
6916at6447	Complete	JASFXZ010000037.1	2629581	2633773	+	155.7	104
6965at6447	Complete	JASFXZ010000050.1	1753736	1748337	-	420.0	222
6966at6447	Complete	JASFXZ010000027.1	8367231	8361238	-	208.2	104
6976at6447	Complete	JASFXZ010000045.1	817678	819657	+	288.5	143
7000at6447	Complete	JASFXZ010000023.1	10324708	10337407	+	662.0	378
7008at6447	Complete	JASFXZ010000008.1	14605270	14610512	+	893.1	422
7044at6447	Complete	JASFXZ010000011.1	3756634	3763916	+	689.1	357
7101at6447	Complete	JASFXZ010000017.1	12426420	12420715	-	356.5	218
7106at6447	Complete	JASFXZ010000032.1	8217232	8210653	-	910.9	520
7114at6447	Complete	JASFXZ010000028.1	1992091	1961413	-	549.1	332
7184at6447	Complete	JASFXZ010000001.1	23878000	23889536	+	1176.0	648
7223at6447	Complete	JASFXZ010000005.1	15466468	15473117	+	359.0	182
7233at6447	Complete	JASFXZ010000005.1	3039439	3043908	+	276.1	133
7279at6447	Complete	JASFXZ010000001.1	1851568	1858762	+	474.0	313
7280at6447	Complete	JASFXZ010000051.1	1527398	1520865	-	510.0	254
7285at6447	Fragmented	JASFXZ010000021.1	107369	279850	+	361.8	282
7300at6447	Complete	JASFXZ010000070.1	353686	369434	+	661.2	313
7314at6447	Complete	JASFXZ010000019.1	11916577	11928549	+	379.7	216
7440at6447	Complete	JASFXZ010000004.1	28011318	28022346	+	609.9	324
7504at6447	Complete	JASFXZ010000020.1	3077040	3073238	-	226.2	116
7526at6447	Complete	JASFXZ010000005.1	20911251	20901992	-	969.1	466
7554at6447	Complete	JASFXZ010000005.1	25117508	25110726	-	531.3	259
7590at6447	Complete	JASFXZ010000027.1	7528923	7489743	-	873.6	521
7602at6447	Complete	JASFXZ010000002.1	18019937	18033392	+	527.9	346
7631at6447	Complete	JASFXZ010000010.1	14105429	14110265	+	963.1	451
7670at6447	Complete	JASFXZ010000003.1	8735579	8730874	-	184.9	163
7675at6447	Complete	JASFXZ010000126.1	64954	78391	+	183.7	108
7687at6447	Complete	JASFXZ010000025.1	677241	673859	-	416.1	226
7697at6447	Complete	JASFXZ010000004.1	10103812	10096751	-	260.9	162
7711at6447	Complete	JASFXZ010000010.1	2089035	2107195	+	1098.1	568
7725at6447	Complete	JASFXZ010000061.1	549474	537301	-	658.5	455
7780at6447	Complete	JASFXZ010000001.1	15377224	15364468	-	660.9	353
7810at6447	Complete	JASFXZ010000032.1	3825671	3812083	-	1135.8	622
7848at6447	Complete	JASFXZ010000037.1	906792	733528	-	1295.4	644
7893at6447	Complete	JASFXZ010000006.1	8842414	8823773	-	544.0	275
7910at6447	Complete	JASFXZ010000016.1	3958851	3937875	-	666.2	441
7911at6447	Complete	JASFXZ010000010.1	7402363	7399740	-	1053.8	562
7932at6447	Complete	JASFXZ010000011.1	17735178	17735768	+	246.2	143
7991at6447	Complete	JASFXZ010000001.1	55602043	55597311	-	535.1	266
8014at6447	Complete	JASFXZ010000002.1	32581185	32569154	-	1179.5	721
8015at6447	Complete	JASFXZ010000002.1	36217946	36213017	-	704.6	353
8074at6447	Complete	JASFXZ010000003.1	35681296	35686023	+	589.5	398
8106at6447	Complete	JASFXZ010000006.1	7079000	7084322	+	480.0	294
8129at6447	Complete	JASFXZ010000009.1	12980171	12962278	-	775.0	425
8144at6447	Complete	JASFXZ010000017.1	5850642	5846299	-	443.5	217
8210at6447	Complete	JASFXZ010000031.1	3744201	3747322	+	254.7	143
8239at6447	Complete	JASFXZ010000042.1	1345629	1343067	-	347.3	189
8251at6447	Complete	JASFXZ010000008.1	962268	958191	-	418.5	242
8262at6447	Complete	JASFXZ010000012.1	19242016	19236751	-	695.4	379
8282at6447	Complete	JASFXZ010000001.1	36592822	36570055	-	1389.2	990
8352at6447	Complete	JASFXZ010000015.1	9971565	9981506	+	449.9	206
8435at6447	Duplicated	JASFXZ010000120.1	28400	6363	-	1050.1	596
8435at6447	Duplicated	JASFXZ010000142.1	66703	45427	-	984.6	596
8438at6447	Complete	JASFXZ010000033.1	6405587	6407854	+	281.4	132
8478at6447	Complete	JASFXZ010000008.1	12085997	12082317	-	553.1	354
8508at6447	Complete	JASFXZ010000030.1	7396919	7404382	+	526.8	261
8553at6447	Complete	JASFXZ010000064.1	52058	46013	-	378.2	208
8574at6447	Complete	JASFXZ010000032.1	3498438	3508784	+	335.6	215
8579at6447	Complete	JASFXZ010000013.1	10360457	10369038	+	294.3	172
8615at6447	Complete	JASFXZ010000009.1	15487721	15491003	+	427.1	202
8616at6447	Complete	JASFXZ010000007.1	18271105	18269140	-	283.1	178
8621at6447	Complete	JASFXZ010000001.1	2972938	2958453	-	625.8	411
8623at6447	Complete	JASFXZ010000007.1	19418572	19405405	-	643.2	329
8669at6447	Complete	JASFXZ010000004.1	35320278	35325432	+	274.2	146
8793at6447	Complete	JASFXZ010000002.1	57632430	57641811	+	468.7	223
8813at6447	Complete	JASFXZ010000041.1	4451084	4449801	-	652.6	414
8817at6447	Complete	JASFXZ010000017.1	7535153	7525859	-	686.6	354
8819at6447	Complete	JASFXZ010000003.1	15013397	15016662	+	344.5	214
8830at6447	Complete	JASFXZ010000026.1	6128778	6136238	+	796.6	408
8858at6447	Complete	JASFXZ010000028.1	2781862	2757561	-	531.8	402
8873at6447	Complete	JASFXZ010000001.1	371370	362480	-	479.8	328
8875at6447	Complete	JASFXZ010000009.1	16907530	16914416	+	610.6	279
8893at6447	Complete	JASFXZ010000021.1	10530316	10539488	+	570.5	276
8976at6447	Complete	JASFXZ010000001.1	28755129	28763071	+	453.9	328
8993at6447	Complete	JASFXZ010000026.1	8515078	8502452	-	406.2	210
9149at6447	Fragmented	JASFXZ010000001.1	57460427	57455415	-	428.6	293
9262at6447	Complete	JASFXZ010000019.1	82877	93557	+	785.8	381
9277at6447	Complete	JASFXZ010000006.1	1968205	1966925	-	704.6	407
9320at6447	Complete	JASFXZ010000006.1	6997232	6974498	-	461.4	293
9328at6447	Complete	JASFXZ010000002.1	46497935	46503076	+	632.0	420
9336at6447	Complete	JASFXZ010000032.1	5074592	5061394	-	1867.8	951
9381at6447	Complete	JASFXZ010000003.1	2481902	2465766	-	403.6	295
9402at6447	Complete	JASFXZ010000003.1	598423	626946	+	1386.5	802
9425at6447	Complete	JASFXZ010000027.1	10099382	10071817	-	1365.9	747
9529at6447	Complete	JASFXZ010000002.1	6414477	6425536	+	976.0	500
9535at6447	Complete	JASFXZ010000014.1	1032704	1016875	-	1421.5	815
9595at6447	Complete	JASFXZ010000031.1	5230334	5243720	+	971.5	591
9596at6447	Complete	JASFXZ010000004.1	15734793	15737670	+	398.4	259
9629at6447	Complete	JASFXZ010000045.1	2346208	2339802	-	555.0	331
9647at6447	Complete	JASFXZ010000044.1	2882423	2901388	+	1009.8	593
9654at6447	Complete	JASFXZ010000039.1	1639010	1633592	-	730.9	490
